"quadrat","scientificName","count"
1,"Armoracia lapathifolia Gilib.",4
1,"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.",34
1,"Arnica chamissonis Less.",7
1,"Arnica cordifolia Hook.",8
1,"Arnica fulgens Pursh",7
1,"Arnica L.",8
1,"Arnica latifolia Bongard",64
1,"Arnica longifolia D.C.Eaton",7
1,"Arnica montana L.",8
1,"Aronia arbutifolia (L.) Pers.",2
1,"Aronia melanocarpa Nutt. ex Elliott",22
1,"Aronia prunifolia (Marsh.) Rehd.",2
1,"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl",8
1,"Arrhenatherum elatius f. bulbosum (Willd.) T.Koyama",8
1,"Arrhenatherum elatius subsp. elatius",10
1,"Artemisia absinthium L.",45
1,"Artemisia absinthium var. insipida Stechm.",7
1,"Artemisia absinthium var. inspida Stechmann",2
1,"Artemisia biennis Willd.",42
1,"Artemisia campestris L.",12
1,"Artemisia campestris subsp. caudata (Michx.) H.M.Hall & Clem.",7
1,"Artemisia frigida Willd.",7
1,"Artemisia herriotii Rydb.",14
1,"Artemisia L.",6
1,"Artemisia ludoviciana Nutt.",4
1,"Artemisia ludoviciana subsp. gnaphalodes (Nutt.) A.Löve & D.Löve",22
1,"Artemisia scoparia Waldst. & Kit.",16
1,"Artemisia stelleriana Bess.",4
1,"Artemisia suksdorfii Piper",24
1,"Artemisia tridentata Nutt.",8
1,"Artemisia vulgaris L.",96
1,"Arum italicum Mill.",16
1,"Aruncus dioicus (Walter) Fernald",44
1,"Aruncus dioicus var. vulgaris (Maxim.) H.Hara",6
1,"Aruncus sylvester Kostel. ex Maxim.",24
1,"Asarum canadense L.",42
1,"Asarum canadense var. canadense",2
1,"Asarum caudatum Lindl.",16
1,"Asarum europaeum L.",8
1,"Asclepias curassavica L.",7
1,"Asclepias incarnata L.",18
1,"Asclepias incarnata subsp. incarnata",8
1,"Asclepias ovalifolia Decne.",50
1,"Asclepias speciosa Torr.",6
1,"Asclepias syriaca L.",180
1,"Asclepias tuberosa L.",8
1,"Asclepias verticillata L.",12
1,"Asparagales",2
1,"Asparagus asparagoides Druce",16
1,"Asparagus officinalis L.",7
1,"Asperula glauca (L.) Besser",2
1,"Asperula odorata L.",8
1,"Asplenium angustifolium Michx.",2
1,"Asplenium rhizophyllum L.",2
1,"Asplenium scolopendrium L.",10
1,"Asplenium trichomanes L.",26
1,"Asplenium viride Huds.",7
1,"Aster acuminatus Michx.",2
1,"Aster amethystinus Nutt.",4
1,"Aster brachyactis S.F.Blake",40
1,"Aster chlorolepis Burgess",2
1,"Aster ciliolatus Lindl.",14
1,"Aster commutatus (Torr. & A.Gray) A.Gray",7
1,"Aster conspicuus Lindl.",35
1,"Aster cordifolius L.",28
1,"Aster ericoides L.",7
1,"Aster ericoides Lam.",8
1,"Aster falcatus Lindl.",14
1,"Aster falcatus subsp. commutatus (Torr. & A.Gray) A.G.Jones",49
1,"Aster falcatus subsp. falcatus",49
1,"Aster L.",64
1,"Aster laevis × Aster lanceolatus",2
1,"Aster laevis L.",23
1,"Aster lanceolatus subsp. lanceolatus",8
1,"Aster lanceolatus var. lanceolatus",2
1,"Aster lanceolatus Willd.",12
1,"Aster lateriflorus (L.) Britt.",2
1,"Aster lateriflorus var. angustifolius Wiegand",2
1,"Aster longifolius Lam.",2
1,"Aster macounii Rydb.",8
1,"Aster macrophyllus L.",6
1,"Aster modestus Lindl.",59
1,"Aster novae-angliae L.",34
1,"Aster ontarionis Wieg.",12
1,"Aster pilosus var. pringlei A.Gray",12
1,"Aster radula Dryand. ex Ait.",2
1,"Aster sibiricus L.",7
1,"Aster simplex Willd.",10
1,"Aster subspicatus Nees",24
1,"Aster tradescantii L.",4
1,"Aster umbellatus Mill.",46
1,"Aster umbellatus var. pubens Gray",42
1,"Aster undulatus L.",2
1,"Aster urophyllus Lindl.",2
1,"Asterales",2
1,"Astragalus adsurgens Pall.",2
1,"Astragalus canadensis L.",8
1,"Astragalus cicer L.",7
1,"Astragalus dasyglottis Fisch. ex DC.",14
1,"Astragalus flexuosus Dougl. ex G.Don",7
1,"Astragalus flexuosus var. flexuosus",7
1,"Astragalus goniatus Nutt.",2
1,"Astragalus mongholicus Bunge",7
1,"Astragalus striatus Nutt.",2
1,"Athyrium filix-femina (L.) Roth",92
1,"Athyrium filix-femina (L.) Roth ex Mert.",12
1,"Athyrium filix-femina subsp. angustum (Willd.) Hultén",2
1,"Athyrium filix-femina subsp. cyclosorum (Rupr.) C.Chr.",24
1,"Athyrium filix-femina var. cyclosorum Rupr.",40
1,"Athyrium filix-femina var. michauxii (Spreng.) Farw.",2
1,"Athyrium otophorum (Miq.) Koidz.",16
1,"Athyrium pycnocarpon (Spreng.) Tidestr.",2
1,"Atocion armeria Fourr.",2
1,"Atragene americana Sims",30
1,"Atrichum angustatum Bruch & W.P.Schimper, 1844",4
1,"Atrichum crispum Sullivant & Lesquereux, 1856",8
1,"Atrichum selwynii Austin, 1877",64
1,"Atrichum undulatum Palisot de Beauvois, 1805",80
1,"Atriplex hastata L.",2
1,"Atriplex hortensis L.",77
1,"Atriplex longipes Drejer & Fries",8
1,"Atriplex micrantha C.A.Meyer",8
1,"Atriplex nudicaulis Boguslaw",8
1,"Atriplex patula L.",20
1,"Atriplex patula var. hastata (L.) Gray",8
1,"Atriplex prostrata Boucher ex DC.",11
1,"Atriplex rosea L.",4
1,"Atriplex subspicata (Nutt.) Rydb.",2
1,"Atriplex, 1758",4
1,"Atropa belladonna L.",15
1,"Aucuba japonica Thunb.",8
1,"Audouinella Bory de Saint-Vincent, 1823",8
1,"Audouinella daviesii (Dillwyn) Woelkerling",8
1,"Audouinella endophytica (Batters) P.S.Dixon",8
1,"Aulacomnium acuminatum Kindberg, 1891",7
1,"Aulacomnium androgynum Schwaegrichen, 1827",16
1,"Aulacomnium palustre Schwaegrichen, 1827",16
1,"Aulacomnium turgidum Schwaegrichen, 1827",7
1,"Avena barbata Link",8
1,"Avena fatua L.",109
1,"Avena sativa L.",118
1,"Axyris amaranthoides L.",23
1,"Azolla caroliniana Willd.",8
1,"Azolla filiculoides Lam.",24
1,"Azolla Lamarck",7
1,"Bangia atropurpurea (Mertens ex Roth) C.Agardh",8
1,"Bangia fuscopurpurea (Dillwyn) Lyngbye",10
1,"Barbarea intermedia Boreau",2
1,"Barbarea orthoceras Ledeb.",56
1,"Barbarea verna (Mill.) Asch.",32
1,"Barbarea vulgaris W.T.Aiton",66
1,"Barbilophozia attenuata (Mart.) Loeske",12
1,"Barbilophozia barbata (Schmidel ex Schreb.) Loeske",2
1,"Barbula convoluta Hedwig, 1801",10
1,"Barbula cylindrica (Taylor) Schimp.",16
1,"Barbula unguiculata Hedwig, 1801",28
1,"Barbula unquiculata Hedw.",2
1,"Barbula vinealis Brid.",16
1,"Bartonia paniculata subsp. iodandra (B.L.Rob.) J.M.Gillett",2
1,"Bartramia circinnulata C.Müller & Kindberg, 1892",8
1,"Bartramia pomiformis Hedwig, 1801",32
1,"Bartramiopsis lescurii Kindberg, 1894",16
1,"Bassia scoparia (L.) A.J.Scott",18
1,"Bazzania denudata (Lindenb. & Gottsche) Trevis.",46
1,"Bazzania tricrenata (Wahlenb.) Lindb.",2
1,"Bazzania trilobata (L.) Gray",12
1,"Beaucarnea recurvata Lem.",7
1,"Beckmannia syzigachne Fernald",16
1,"Bellis perennis L.",346
1,"Bellium bellidioides L.",8
1,"Berberis ×rubrostilla Chittenden",8
1,"Berberis aquifolium Pursh",192
1,"Berberis buxifolia var. nana Usteri",8
1,"Berberis julianae C.K.Schneid.",16
1,"Berberis nervosa Pursh",80
1,"Berberis repens Lindl.",7
1,"Berberis stenophylla Hance",16
1,"Berberis thunbergii DC.",64
1,"Berberis thunbergii var. minor Rehder",8
1,"Berberis verruculosa Hemsl. & E.H.Wilson",8
1,"Berberis vulgaris L.",29
1,"Bergenia purpurascens (Hook.f. & Thomson) Engl.",16
1,"Berkheya macrocephala J.M.Wood",8
1,"Berteroa incana DC.",14
1,"Betula albosinensis Burkill",8
1,"Betula alleghaniensis Britton",104
1,"Betula alleghaniensis var. alleghaniensis",2
1,"Betula cordifolia Regel",2
1,"Betula grossa Siebold & Zucc.",8
1,"Betula L.",8
1,"Betula lenta L.",8
1,"Betula lutea var. macrolepis Fernald",2
1,"Betula mandshurica var. japonica (Miq.) Rehder",8
1,"Betula nigra L.",2
1,"Betula papyrifera Marshall",176
1,"Betula pendula Roth",24
1,"Betula populifolia Marshall",40
1,"Betula pubescens Ehrh.",16
1,"Betula utilis D.Don",16
1,"Betula verrucosa Ehrh.",8
1,"Betula winteri Dugle",7
1,"Bidens amplissima Greene",56
1,"Bidens cernua L.",85
1,"Bidens comosa (A.Gray) Wieg.",4
1,"Bidens connata Muhl. ex Willd.",10
1,"Bidens ferulaefolia (Jacq.) DC.",8
1,"Bidens frondosa L.",64
1,"Bidens L.",24
1,"Bidens pilosa L.",8
1,"Bidens tripartita L.",12
1,"Bidens vulgata Greene",14
1,"Bixa orellana L.",16
1,"Blechnum L.",8
1,"Blechnum penna-marina (Poir.) Kuhn",8
1,"Blechnum spicant (L.) Smith",72
1,"Blechnum spicant L.",8
1,"Blepharostoma trichophyllum (L.) Dumort.",4
1,"Blidingia minima (Nägeli ex Kütz.) Kylin",8
1,"Blidingia minima var. minima",8
1,"Blindia acuta Bruch & W.P.Schimper, 1846",24
1,"Blitum capitatum L.",7
1,"Boehmeria nivea (L.) Gaudich.",7
1,"Bolboschoenus fluviatilis (Torr.) Soják",18
1,"Bolboschoenus maritimus subsp. paludosus (A.Nelson) T.Koyama",24
1,"BOLD:AAF0559",8
1,"BOLD:AAL5692",8
1,"BOLD:AAL5694",8
1,"BOLD:AAX0896",8
1,"BOLD:AAY3386",8
1,"Boltonia asteroides var. recognita (Fernald & Griscom) Cronquist",4
1,"Borago officinalis L.",2
1,"Botrychium dissectum Spreng.",2
1,"Botrychium lunaria (L.) Sw.",2
1,"Botrychium multifidum (S.G.Gmel.) Rupr.",24
1,"Botrychium simplex Hitch.",6
1,"Botrychium virginianum (L.) Sw.",2
1,"Botryoglossum farlowianum var. anomalum Hollenb. & I.A.Abbott",8
1,"Botrypus virginianus (L.) Michx.",4
1,"Bouteloua curtipendula (Michx.) Torr.",2
1,"Bouteloua gracilis (Kunth) Lag. ex Griffiths",7
1,"Bouteloua gracilis (Kunth) Lag. ex Steud.",7
1,"Bouteloua oligostachya (Nutt.) Torr. ex A.Gray",2
1,"Boykinia elata (Nutt.) Greene",24
1,"Boykinia occidentalis Torr. & A.Gray",32
1,"Brachyelytrum erectum (Schreb.) P.Beauv.",2
1,"Brachythecium acutum Sullivant, 1874",8
1,"Brachythecium albicans W.P.Schimper, 1853",16
1,"Brachythecium asperrimum (Mitt. ex Müll.Hal.) Sull.",8
1,"Brachythecium campestre W.P.Schimper, 1853",10
1,"Brachythecium collinum (C.Müll.) B. & S.G.",8
1,"Brachythecium digastrum C.Müller ex Kindberg, 1892",10
1,"Brachythecium frigidum Bescherelle, 1872",8
1,"Brachythecium laetum W.P.Schimper, 1853",12
1,"Brachythecium oxycladon (Brid.) A.Jaeger",14
1,"Brachythecium oxycladon var. dentatum (Lesq. & James) Grout",4
1,"Brachythecium populeum W.P.Schimper, 1853",18
1,"Brachythecium reflexum W.P.Schimper, 1853",4
1,"Brachythecium rivulare B.S.G.",2
1,"Brachythecium rivulare W.P.Schimper, 1853",10
1,"Brachythecium rotaeanum De Notaris, 1867",2
1,"Brachythecium rutabulum W.P.Schimper, 1853",22
1,"Brachythecium salebrosum W.P.Schimper, 1853",51
1,"Brachythecium starkii W.P.Schimper, 1853",4
