species,AccSpeciesID
Crataegus mollis,15089
Crataegus monogyna,15090
Crataegus pedicellata,15099
Crataegus persimilis,79891
Crataegus phaenopyrum,15101
Crataegus pringlei,303135
Crataegus punctata,15106
Crataegus scabrida,303159
Crataegus submollis,66961
Crataegus suborbiculata,303178
Crataegus succulenta,15118
Cratoneuron filicinum,303243
Crepis capillaris,15174
Crepis runcinata,64387
Crepis setosa,15198
Crepis tectorum,15203
Crocosmia crocosmiiflora,15231
Crocus chrysanthus,15238
Crocus vernus,15247
Croptilon divaricatum,217046
Cryptogramma acrostichoides,218300
Cryptogramma cascadensis,218301
Cryptomeria japonica,15791
Cryptotaenia canadensis,15801
Cucumis melo,15845
Cunninghamia lanceolata,15884
Cuphea ignea,15914
Cupressus arizonica,15925
Cuscuta curta,305377
Cuscuta epithymum,15970
Cuscuta gronovii,15973
Cuscuta indecora,80227
Cuscuta pentagona,67055
Cycas circinalis,16105
Cycas revoluta,16108
Cyclachaena xanthiifolia,218986
Cycloloma atriplicifolium,16137
Cymbalaria muralis,16165
Cymbopogon nardus,16220
Cynodontium jenneri,306015
Cynodontium polycarpum,306017
Cynoglossum officinale,16302
Cynosurus cristatus,16337
Cynosurus echinatus,16338
Cyperus esculentus,16385
Cyperus fuscus,16395
Cyperus odoratus,16427
Cyperus schweinitzii,16447
Cyperus strigosus,16454
Cypripedium acaule,16549
Cypripedium calceolus,16550
Cypripedium montanum,16552
Cypripedium parviflorum,80614
Cypripedium reginae,80616
Cyrtomnium hymenophylloides,307174
Cystopteris bulbifera,219523
Cystopteris fragilis,16606
Cystopteris tenuis,219529
Cytisus scoparius,16641
Dacrydium cupressinum,16660
Dactylis glomerata,16700
Dactylorhiza viridis,219607
Dahlia pinnata,16748
Dalea candida,16817
Dalea purpurea,16836
Danthonia spicata,16919
Daphne laureola,16958
Daphne mezereum,16960
Dasiphora fruticosa,80787
Datura innoxia,17027
Datura stramonium,17034
Datura wrightii,17037
Daucus carota,17041
Davidia involucrata,17057
Decodon verticillatus,17104
Delphinium exaltatum,17156
Dendroalsia abietina,308341
Dendrolycopodium dendroideum,80892
Dendrolycopodium obscurum,80895
Dennstaedtia punctilobula,17325
Deparia acrostichoides,17333
Deschampsia cespitosa,17365
Deschampsia elongata,17372
Descurainia incana,67248
Descurainia pinnata,17409
Descurainia sophia,17412
Desmodium canadense,17436
Desmodium glutinosum,17451
Deutzia gracilis,64421
Deutzia scabra,17514
Dianthus armeria,17584
Dianthus barbatus,17585
Dianthus deltoides,17594
Dianthus plumarius,17616
Dicentra canadensis,17649
Dicentra cucullaria,17651
Dicentra formosa,17652
Dichelyma capillaceum,309174
Dichelyma pallescens,309176
Dichelyma uncinatum,309177
Dichodontium olympicum,309181
Dichodontium pellucidum,309182
Dicranella cerviculata,309353
Dicranella heteromalla,309355
Dicranella pacifica,309358
Dicranella rufescens,309360
Dicranella schreberiana,309361
Dicranella varia,309364
Dicranodontium denudatum,309367
Dicranostigma leptopodum,17793
Dicranoweisia cirrata,309433
Dicranoweisia crispula,309434
Dicranum flagellare,309441
Dicranum fulvum,309443
Dicranum fuscescens,309444
Dicranum howellii,309447
Dicranum majus,309449
Dicranum muehlenbeckii,309452
Dicranum pallidisetum,309454
Dicranum polysetum,58061
Dicranum scoparium,309456
Dicranum spurium,309458
Dicranum tauricum,309459
Dicranum undulatum,102783
Dicranum viride,309460
Didymodon fallax,309547
Didymodon tophaceus,309566
Didymodon vinealis,309567
Diervilla lonicera,17850
Digitalis lutea,17862
Digitalis purpurea,17868
Digitaria ischaemum,18003
Digitaria sanguinalis,18103
Dioon purpusii,81246
Dioscorea sylvatica,18405
Diospyros kaki,18516
Diospyros multiflora,310527
Diphasiastrum alpinum,18642
Diphasiastrum complanatum,18643
Diphasiastrum digitatum,81421
Diphasiastrum sitchense,81431
Diphasiastrum tristachyum,18646
Diphyscium foliosum,310749
Diplophyllum albicans,310871
Diplophyllum obtusifolium,310878
Diplophyllum taxifolium,310880
Diplotaxis muralis,18711
Diplotaxis tenuifolia,18714
Dipsacus asper,311023
Dirca palustris,18810
Disanthus cercidifolius,18850
Discelium nudum,311121
Distichium capillaceum,311357
Distichium hagenii,311359
Distichlis spicata,18978
Ditrichum flexicaule,311435
Ditrichum heteromallum,311436
Ditrichum montanum,311438
Ditrichum pusillum,311440
Ditrichum schimperi,311442
Dittrichia graveolens,18990
Dodecatheon meadia,19016
Doellingeria umbellata,81641
Doronicum pardalianches,19154
Doryopteris raddiana,311896
Douinia ovata,311915
Draba nemorosa,19225
Draba reptans,19230
Draba stenoloba,221914
Draba verna,19236
Dracocephalum parviflorum,19252
Drepanocladus aduncus,312286
Drepanocladus longifolius,312291
Drepanocladus sendtneri,312294
Drosera anglica,19325
Drosera intermedia,19339
Drosera rotundifolia,19347
Dryopteris arguta,222075
Dryopteris boottii,312655
Dryopteris campyloptera,222077
Dryopteris carthusiana,19406
Dryopteris clintoniana,222081
Dryopteris cristata,19408
Dryopteris dilatata,19410
Dryopteris expansa,19412
Dryopteris filix-mas,19413
Dryopteris fragrans,81878
Dryopteris goldiana,19414
Dryopteris intermedia,19416
