"quadrat","scientificName","count"
1,"Avena fatua L.",105
1,"Avena sativa L.",115
1,"Axyris amaranthoides L.",18
1,"Azolla caroliniana Willd.",8
1,"Azolla filiculoides Lam.",24
1,"Azolla Lamarck",6
1,"Bangia atropurpurea (Mertens ex Roth) C.Agardh",8
1,"Bangia fuscopurpurea (Dillwyn) Lyngbye",5
1,"Barbarea intermedia Boreau",1
1,"Barbarea orthoceras Ledeb.",56
1,"Barbarea verna (Mill.) Asch.",32
1,"Barbarea vulgaris W.T.Aiton",46
1,"Barbilophozia attenuata (Mart.) Loeske",6
1,"Barbilophozia barbata (Schmidel ex Schreb.) Loeske",1
1,"Barbula convoluta Hedwig, 1801",9
1,"Barbula cylindrica (Taylor) Schimp.",16
1,"Barbula unguiculata Hedwig, 1801",22
1,"Barbula unquiculata Hedw.",1
1,"Barbula vinealis Brid.",16
1,"Bartonia paniculata subsp. iodandra (B.L.Rob.) J.M.Gillett",1
1,"Bartramia circinnulata C.Müller & Kindberg, 1892",8
1,"Bartramia pomiformis Hedwig, 1801",32
1,"Bartramiopsis lescurii Kindberg, 1894",16
1,"Bassia scoparia (L.) A.J.Scott",14
1,"Bazzania denudata (Lindenb. & Gottsche) Trevis.",43
1,"Bazzania tricrenata (Wahlenb.) Lindb.",1
1,"Bazzania trilobata (L.) Gray",6
1,"Beaucarnea recurvata Lem.",6
1,"Beckmannia syzigachne Fernald",13
1,"Bellis perennis L.",345
1,"Bellium bellidioides L.",8
1,"Berberis ×rubrostilla Chittenden",8
1,"Berberis aquifolium Pursh",192
1,"Berberis buxifolia var. nana Usteri",8
1,"Berberis julianae C.K.Schneid.",16
1,"Berberis nervosa Pursh",80
1,"Berberis repens Lindl.",6
1,"Berberis stenophylla Hance",16
1,"Berberis thunbergii DC.",32
1,"Berberis thunbergii var. minor Rehder",8
1,"Berberis verruculosa Hemsl. & E.H.Wilson",8
1,"Berberis vulgaris L.",21
1,"Bergenia purpurascens (Hook.f. & Thomson) Engl.",16
1,"Berkheya macrocephala J.M.Wood",8
1,"Berteroa incana DC.",11
1,"Betula albosinensis Burkill",8
1,"Betula alleghaniensis Britton",68
1,"Betula alleghaniensis var. alleghaniensis",1
1,"Betula cordifolia Regel",1
1,"Betula grossa Siebold & Zucc.",8
1,"Betula L.",8
1,"Betula lenta L.",8
1,"Betula lutea var. macrolepis Fernald",1
1,"Betula mandshurica var. japonica (Miq.) Rehder",8
1,"Betula nigra L.",1
1,"Betula papyrifera Marshall",104
1,"Betula pendula Roth",20
1,"Betula populifolia Marshall",20
1,"Betula pubescens Ehrh.",16
1,"Betula utilis D.Don",16
1,"Betula verrucosa Ehrh.",8
1,"Betula winteri Dugle",6
1,"Bidens amplissima Greene",56
1,"Bidens cernua L.",69
1,"Bidens comosa (A.Gray) Wieg.",2
1,"Bidens connata Muhl. ex Willd.",9
1,"Bidens ferulaefolia (Jacq.) DC.",8
1,"Bidens frondosa L.",40
1,"Bidens L.",24
1,"Bidens pilosa L.",8
1,"Bidens tripartita L.",10
1,"Bidens vulgata Greene",7
1,"Bixa orellana L.",16
1,"Blechnum L.",8
1,"Blechnum penna-marina (Poir.) Kuhn",8
